epoch: 19, running loss: 0.09633820503950119, AUROC score: 0.990842342376709
epoch: 39, running loss: 0.0863131731748581, AUROC score: 0.9908324480056763
epoch: 59, running loss: 0.0771615281701088, AUROC score: 0.9916589856147766
epoch: 79, running loss: 0.06854581832885742, AUROC score: 0.9926419258117676
epoch: 99, running loss: 0.06093353405594826, AUROC score: 0.994391918182373
epoch: 119, running loss: 0.05426367372274399, AUROC score: 0.9955908060073853
epoch: 139, running loss: 0.047847285866737366, AUROC score: 0.9956761598587036
epoch: 159, running loss: 0.04297343268990517, AUROC score: 0.9957687854766846
epoch: 179, running loss: 0.03750687092542648, AUROC score: 0.9948641061782837
epoch: 199, running loss: 0.03375312685966492, AUROC score: 0.9952948093414307
epoch: 219, running loss: 0.030660249292850494, AUROC score: 0.9954854846000671
epoch: 239, running loss: 0.02905884012579918, AUROC score: 0.9960421323776245
epoch: 259, running loss: 0.029288627207279205, AUROC score: 0.9961168766021729
epoch: 279, running loss: 0.0327758751809597, AUROC score: 0.9946950674057007
epoch: 299, running loss: 0.02398233860731125, AUROC score: 0.9975323677062988
epoch: 319, running loss: 0.026668643578886986, AUROC score: 0.9978435039520264
epoch: 339, running loss: 0.026408430188894272, AUROC score: 0.9978623390197754
epoch: 359, running loss: 0.02735019288957119, AUROC score: 0.997938871383667
epoch: 379, running loss: 0.03237437456846237, AUROC score: 0.998334527015686
epoch: 399, running loss: 0.048722051084041595, AUROC score: 0.9966825246810913
Finall AUROC score(test data): 0.9961086511611938
loss-52.png is saved
